#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Période extraite : de 2006 à 2020
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12180;47.5845;-2.186;RCP2.6;2018;12.06;7;9.63;26.31;6;
12180;47.5845;-2.186;RCP2.6;2019;11.64;9;9.09;33.19;7;
12180;47.5845;-2.186;RCP2.6;2020;11.76;8;7.46;26.62;5;
12314;47.6151;-3.1483;RCP2.6;2006;11.91;5;4.64;23.97;5;
12314;47.6151;-3.1483;RCP2.6;2007;12.61;6;6.17;23.03;4;
12314;47.6151;-3.1483;RCP2.6;2008;12.12;3;9.24;19.49;1;
12314;47.6151;-3.1483;RCP2.6;2009;12.94;5;7.6;20.17;3;
12314;47.6151;-3.1483;RCP2.6;2010;12.46;6;7.99;22.67;5;
12314;47.6151;-3.1483;RCP2.6;2011;12.57;4;7.19;19.3;2;
12314;47.6151;-3.1483;RCP2.6;2012;12.99;3;6.89;18.44;3;
12314;47.6151;-3.1483;RCP2.6;2013;12.95;1;6.89;17.79;0;
12314;47.6151;-3.1483;RCP2.6;2014;12.78;5;5.45;22.89;5;
12314;47.6151;-3.1483;RCP2.6;2015;12.95;3;5.72;18.45;1;
12314;47.6151;-3.1483;RCP2.6;2016;13.16;7;7.65;24.3;6;
12314;47.6151;-3.1483;RCP2.6;2017;13.4;4;7.07;19.94;4;
12314;47.6151;-3.1483;RCP2.6;2018;12.36;8;9.21;22.52;7;
12314;47.6151;-3.1483;RCP2.6;2019;12.06;5;8.18;24.93;5;
12314;47.6151;-3.1483;RCP2.6;2020;12.12;8;5.86;29.38;7;
12315;47.6201;-3.0421;RCP2.6;2006;11.69;6;4.9;23.85;5;
12315;47.6201;-3.0421;RCP2.6;2007;12.42;8;6.25;24.89;5;
12315;47.6201;-3.0421;RCP2.6;2008;11.92;5;9.06;20.83;2;
12315;47.6201;-3.0421;RCP2.6;2009;12.82;5;7.37;20.47;2;
12315;47.6201;-3.0421;RCP2.6;2010;12.3;6;8.54;22.43;4;
12315;47.6201;-3.0421;RCP2.6;2011;12.43;4;7.59;19.77;2;
12315;47.6201;-3.0421;RCP2.6;2012;12.88;3;7.04;18.28;3;
12315;47.6201;-3.0421;RCP2.6;2013;12.83;1;7.08;18.55;0;
12315;47.6201;-3.0421;RCP2.6;2014;12.66;5;5.79;24.18;5;
12315;47.6201;-3.0421;RCP2.6;2015;12.88;5;6.13;20.65;0;
12315;47.6201;-3.0421;RCP2.6;2016;13.1;7;7.55;24.91;6;
12315;47.6201;-3.0421;RCP2.6;2017;13.31;4;7.34;20.46;4;
12315;47.6201;-3.0421;RCP2.6;2018;12.22;9;9.27;23.67;7;
12315;47.6201;-3.0421;RCP2.6;2019;11.88;8;8.89;25.39;5;
12315;47.6201;-3.0421;RCP2.6;2020;11.93;10;6.36;29.78;6;
12316;47.6249;-2.9359;RCP2.6;2006;11.73;4;4.42;18.68;3;
12316;47.6249;-2.9359;RCP2.6;2007;12.47;8;6.3;24.22;4;
12316;47.6249;-2.9359;RCP2.6;2008;11.9;4;9.52;19.51;1;
12316;47.6249;-2.9359;RCP2.6;2009;12.89;3;7.31;18.8;2;
12316;47.6249;-2.9359;RCP2.6;2010;12.31;7;8.1;24.61;5;
12316;47.6249;-2.9359;RCP2.6;2011;12.46;3;7.49;19.25;2;
12316;47.6249;-2.9359;RCP2.6;2012;12.93;4;7.2;21.15;4;
12316;47.6249;-2.9359;RCP2.6;2013;12.81;2;6.81;17.45;1;
12316;47.6249;-2.9359;RCP2.6;2014;12.71;6;5.59;23.94;6;
12316;47.6249;-2.9359;RCP2.6;2015;12.92;5;5.97;20.52;2;
12316;47.6249;-2.9359;RCP2.6;2016;13.1;8;8.13;25.24;7;
12316;47.6249;-2.9359;RCP2.6;2017;13.28;6;7.23;23.76;5;
12316;47.6249;-2.9359;RCP2.6;2018;12.23;10;8.77;24.64;7;
12316;47.6249;-2.9359;RCP2.6;2019;11.85;7;8.34;26.29;5;
12316;47.6249;-2.9359;RCP2.6;2020;11.94;11;6.17;29.94;7;
12317;47.6297;-2.8297;RCP2.6;2006;11.69;3;5.21;17.17;3;
12317;47.6297;-2.8297;RCP2.6;2007;12.4;7;6.17;23.03;4;
12317;47.6297;-2.8297;RCP2.6;2008;11.87;5;8.64;20.67;1;
12317;47.6297;-2.8297;RCP2.6;2009;12.87;4;7.03;20.68;2;
