#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12180;47.5845;-2.186;REF;2001;11.63;8;9.13;25.93;4;
12180;47.5845;-2.186;REF;2002;11.99;7;8.69;22.05;1;
12180;47.5845;-2.186;REF;2003;12.56;8;9.38;24.42;5;
12180;47.5845;-2.186;REF;2004;12.72;10;8.89;25.59;5;
12180;47.5845;-2.186;REF;2005;12.13;5;4.7;22.16;3;
12314;47.6151;-3.1483;REF;1990;12.79;9;8.23;22.05;5;
12314;47.6151;-3.1483;REF;1991;11.89;3;7.15;17.15;1;
12314;47.6151;-3.1483;REF;1992;11.77;4;7.89;20.66;4;
12314;47.6151;-3.1483;REF;1993;12.17;6;7.3;22.78;5;
12314;47.6151;-3.1483;REF;1994;11.62;5;8.42;20.97;4;
12314;47.6151;-3.1483;REF;1995;12.31;3;6.46;18.91;3;
12314;47.6151;-3.1483;REF;1996;12.6;6;5.25;22.77;5;
12314;47.6151;-3.1483;REF;1997;12.14;3;6.56;17.39;3;
12314;47.6151;-3.1483;REF;1998;12.24;3;8.34;18.97;3;
12314;47.6151;-3.1483;REF;1999;12.87;4;5.86;19.43;4;
12314;47.6151;-3.1483;REF;2000;13.01;7;7.97;24.89;6;
12314;47.6151;-3.1483;REF;2001;11.9;5;8.1;21.24;4;
12314;47.6151;-3.1483;REF;2002;12.3;5;8.21;20.49;3;
12314;47.6151;-3.1483;REF;2003;12.84;5;7.69;20.93;3;
12314;47.6151;-3.1483;REF;2004;13.03;7;8.76;22.23;6;
12314;47.6151;-3.1483;REF;2005;12.48;5;4.57;20.93;3;
12315;47.6201;-3.0421;REF;1990;12.71;11;8.62;23.61;7;
12315;47.6201;-3.0421;REF;1991;11.69;3;7.16;19.54;2;
12315;47.6201;-3.0421;REF;1992;11.55;5;8.47;22.15;4;
12315;47.6201;-3.0421;REF;1993;11.99;6;7.41;23.37;5;
12315;47.6201;-3.0421;REF;1994;11.33;5;8.73;21.61;4;
